Title,Price1,product__pricing_area2
Dove Antiperspirant Pomegranate | 220mL,$8.50,$3.86 per 100mL
Dove Antiperspirant Apple & White Tea | 220mL,$8.50,$3.86 per 100mL
Nivea Body Lotion Cocoa Butter Indulge | 400mL,$9.00,$2.25 per 100mL
Poise Pads For Bladder Leaks Extra Plus | 20 pack,$10.50,$0.53 per 1ea
Colgate Zig Zag Medium Toothbrush Value Pack | 6 pack,$10.00,$1.67 per 1ea | Was $11.50 on Sep 2017
Nivea Rich Moisture Soft Shower Gel & Body Wash | 1L,$14.50,$1.45 per 100mL
Palmolive Luminous Oils Shower Gel | 400mL,$6.00,$1.50 per 100mL
Nivea  Deo Aero Pearl & Beauty Aer | 250mL,$7.50,$3.00 per 100mL
Palmolive Gold Soap | 4 pack,$3.50,$0.97 per 100g
Colgate Mild Mint Gel Bluey Toothpaste | 90g,$2.10,$2.33 per 100g | Was $3.00
Tena Pads Ultra Thin Mini | 20 pack,$4.41,$0.22 per 1ea | Was $6.70
Oral-B Clinical Alcohol Free Flouride Rinse Clean Mint Mouthwash | 500mL,$4.50,$0.90 per 100mL | Was $9.00
Dettol Antibacterial Foam Hand Wash Pump Rose and Cherry | 250mL,$3.50,$1.40 per 100mL
Gillette Shave Foam Sensitive Skin | 330g,$5.00,
Tampax Tampons Super With Applicator | 20 pack,$7.00,$0.35 per 1ea
Libra Invisible Pads Regular Wing | 12 pack,$5.50,$0.46 per 1ea
Stayfree Ultra Thin Regular Pads With Wings | 14 pack,$6.00,$0.43 per 1ea
Garnier Micellar Cleansing Water | 125mL,$7.50,$6.00 per 100mL
Dove Men + Care Antiperspirant Invisible Fresh Deodorant | 254mL,$8.50,$3.35 per 100mL
Neutrogena Beach Defence Sunscreen Spray SPF 50 | 184g,$20.00,$10.87 per 100g
Aveeno Daily Moisturising Body Wash | 1L,$26.00,$2.60 per 100mL
Listerine Freshburst Zero Mouthwash | 1L,$14.00,$1.40 per 100mL
Coles Para Rapid | 20 pack,$3.00,$0.15 per 1ea
U by Kotex Sport Liners | 30 pack,$2.73,$0.09 per 1ea | Was $3.90
Nature's Organics Fruits Apple Fresh Shampoo | 500mL,$2.00,$0.40 per 100mL
Sanofi Shave Cream - Moisturising Shaving Cream | 75g,$2.50,$3.33 per 100g
Oral B Pro Health All Around Protect Toothpaste | 200g,$4.00,$2.00 per 100g | Was $8.00
