Title,Price,product__pricing_area
Bulla Creamy Classic Ice Cream Sticks Vanilla 4 Pack | 360mL,$5.00,$1.39 per 100mL
Weight Watchers Frozen Chicken & Mushroom Fettuccine | 300g,$6.50,$2.17 per 100g
Streets Blue Ribbon Light Vanilla Ice Cream Tub | 2L,$5.75,$0.29 per 100mL | Was $7.65
Coles Frozen Whole Baby Beans | 500g,$2.70,$5.40 per 1kg
Creative Gourmet Banana Mango Pineapple | 400g,$2.82,$7.05 per 1kg | Was $5.65
Birds Eye Snap Frozen Garden Peas | 500g,$2.90,$5.80 per 1kg
Bulla Creamy Classic Vanilla Choc Fudge Cone 4 Pack | 520mL,$4.50,$0.87 per 100mL | Was $9.00
McCain Frozen Mashed Potato | 1kg,$6.00,$6.00 per 1kg
Steggles Frozen Classic Crumb Chicken Breast Tenders | 1kg,$11.00,$11.00 per 1kg | Was $13.00
Haldirams Punjabi Samosa | 650g,$12.00,$1.85 per 100g
Inghams Tempura Nuggets | 400g,$5.00,$12.50 per 1kg
On The Menu Frozen Beef Lasagne | 260g,$2.80,$1.08 per 100g | Was $3.50
Zooper Dooper No Sugar Ice Water | 24 Pack,$5.85,$0.35 per 100mL | Was $6.50
Coles Chicken & Vegetable Pie 4 pack | 700g,$5.60,$0.80 per 100g
Sara Lee Classic Ultra Chocolate Ice Cream | 1L,$12.00,$1.20 per 100mL
Birds Eye Frozen Steam Fresh Carrots Peas & Corn Mix 3 pack | 450g,$3.90,$8.67 per 1kg
Coles Chicken Fettuccine Carbonara | 375g,$3.30,$0.88 per 100g
McCain Frozen Onion Rings | 500g,$4.00,$0.80 per 100g
Coles Frozen Green Mixed Vegetables | 1kg,$4.70,$4.70 per 1kg
McCain Frozen Pommes Light & Crispy Potato Balls | 500g,$3.00,$0.60 per 100g | Was $4.50
Birds Eye Frozen Steam Fresh Peas Beans Corn & Broccoli Mix 3 pack | 450g,$3.90,$8.67 per 1kg
Streets Paddle Pop Rainbow | 544mL,$5.50,$1.01 per 100mL | Was $8.00
Coles Frozen Pineapple Fruit Pieces | 500g,$5.00,$10.00 per 1kg
Coles Frozen Meat Pies 6 Pack | 900g,$5.70,$0.63 per 100g
Charlotte's Bakery Slow Cooked Beef Pies 2 Pack | 400g,$9.80,$2.45 per 100g
Peters Gluten Free Original Vanilla Ice Cream Tub | 2L,$5.50,$2.75 per 1L
Coles Irrisistible Rum & Raisin Ice Cream Tub | 1L,$6.50,$0.65 per 100mL
Borg's Gozleme Lamb & Spinach | 300g,$3.25,$1.08 per 100g | Was $6.50
Nanna's Frozen Golden & Crispy Snack Apple Pies | 450g,$5.00,$1.11 per 100g
Creative Gourmet Frozen Mango Chunks | 750g,$8.00,$1.07 per 100g
Birds Eye Snap Frozen Broad Beans | 500g,$3.40,$6.80 per 1kg
Coles Fz Convenience Meal Shepherds Pie | 375g,$3.30,$0.88 per 100g
Weis Half & Half Mango & Vanilla  | 1L,$6.00,$0.60 per 100mL | Was $9.00
Streets Calippo Minis Lemon Orange & Lime Ice Blocks 10 pack | 575mL,$8.00,$1.39 per 100mL
Bulla Splits Multi Flavoured Ice Cream Sticks 10 pack | 750mL,$8.00,$1.07 per 100mL
Bulla Frozen Variety Minis Yoghurt  14 pack | 506g,$8.00,$1.58 per 100g
Birds Eye Frozen Baby Peas | 1kg,$5.30,$5.30 per 1kg
Coles I M Free From Chicken Nuggets | 400g,$6.00,$15.00 per 1kg
Coles Frozen Cauliflower | 500g,$2.60,$0.52 per 100g
Four N Twenty AFL Party Pies 24 Pack | 1.12 kg,$12.00,$1.07 per 100g
King Of Kings Roasted BBQ Pork Bun | 380g,$4.25,$1.12 per 100g | Was $8.50
Hershey's Chocolate Caramel | 1L,$4.50,$0.45 per 100mL | Was $9.00
Charlotte's Bakery Slow Cooked Steak & Pepper Pies 2 pack | 400g,$9.80,$2.45 per 100g
McCain Frozen Garlic Pizza 2 Pack | 320g,$4.50,$1.41 per 100g
McCain Frozen Ultra Thin Crust Pepperoni Pizza | 310g,$6.00,$1.94 per 100g
Steggles Frozen Chicken Breast Goujons | 1kg,$11.00,$11.00 per 1kg | Was $13.00
Coles Carrots Batons | 500g,$2.50,$5.00 per 1kg
Weight Watchers Beef Bolognese | 320g,$6.50,$2.03 per 100g
Peters Light & Creamy French Vanilla Ice Cream Tub | 1.8L,$5.50,$0.31 per 100mL
Magnum Ice Cream Honeycomb Crunch 4Pack | 428mL,$10.50,$2.24 per 100mL
Magnum Ice Cream Mini Dulce De Leche 6Pack | 360mL,$10.50,$2.92 per 100mL
Haldirams Tandoori Naan 16 Pack | 1.28kg,$12.00,$0.94 per 100g
Birds Eye Golden Crunch Straight Cut Chips | 900g,$5.00,$5.56 per 1kg
King Of Kings Prawn Fried Rice | 400g,$4.25,$1.06 per 100g | Was $8.50
Coles Fruit Apple Pie Snack 4 pack | 500g,$3.60,$0.72 per 100g
Coles Choc Mint Cones 4 pack | 475mL,$3.90,$0.82 per 100mL
Street Pepperoni Pizza | 345g,$10.80,$3.13 per 100g
Four'N Twenty Frozen Beef & Cheese Pies 4 pack | 700g,$8.50,$1.21 per 100g
Bulla Creamy Classics Ice Cream Neapolitan Stick 4 pack | 360mL,$5.00,$1.39 per 100mL
McCain Lil Pizzas Ham & Cheese 4 Pack | 400g,$5.50,$1.38 per 100g
King Of Kings Sesame Prawn Toast | 324g,$4.25,$1.31 per 100g | Was $8.50
McCain Rustica Pizza Salami & Four Cheese | 400g,$6.00,$1.50 per 100g | Was $8.30
Bulla Murray Street Ice Cream Vanilla Bean | 1L,$6.00,$0.60 per 100mL | Was $12.00
Charlotte's Bakery Chunky Chicken & Leek Pie 2 Pack | 400g,$9.80,$2.45 per 100g
Birds Eye Snap Frozen Carrot Peas & Corn | 1 kg,$5.50,$5.50 per 1kg
