Date,Suburb,Address,Invoice Number,Item Description,Item Description2,Item Price
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,WW Chicken Breast Fillets Bulk RSPCA,,12.58
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Cauliflower Whole,,2.5
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Lamb Leg Steak 540g,,13
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,#Chin Chin Grass Jelly DrkLychee 315g,,1.25
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,^D/F Thick & Creamy Clssc Vanilla 150g,,1
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,^DF Thick & Creamy Mango Passio Frt 150g,,1
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,^D/F Thick & Creamy Strawberry 150g,,1
9/04/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^La Molisana Vegan Bolognese 340g,,2
9/04/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Bulla Thick Cream 600ml,,4.4
9/04/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,WW Sour Cream 300ml,,2.1
9/04/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Devondale Milk Full Cream L/l 1l,,1.45
9/04/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Old El Paso Kit Soft Taco 405g,,3.5
9/04/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^#Brunnings Potting Mix 25L,,3.5
7/05/2021,3327 Blackburn South,117-125 Canterbury Road,6.29333E+19,#Ww Lamb Rogan Josh With Rice 350g,,6.5
7/05/2021,3327 Blackburn South,117-125 Canterbury Road,6.29333E+19,#WW Singapore Noodles 350g,,5.5
7/05/2021,3327 Blackburn South,117-125 Canterbury Road,6.29333E+19,WW Sweet Corn Fritters 200g,,4.62
7/05/2021,3327 Blackburn South,117-125 Canterbury Road,6.29333E+19,D Orsogna Roast Chicken 320G,,5.5
7/07/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Pumpkin Butternut Cut,0.881 kg NET @ $3.50/kg,3.08
7/07/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,^Nongshim Shin Ramen 5Pk 600g,,4
7/07/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,^Uncle Tobys Big BowlOats Honey 8pk 368g,,2.5
7/07/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,#Deep Cove Sardines In Tomato Sauce 125g,,0.85
7/07/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,D Orsogna Roast Chicken 320G,,5.5
7/07/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Beef Oyster Blade Steak 600g,,13.5
9/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Helgas Lower Carb Soy Tstd Sesame 700g,,4.2
9/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^#Pine O Clean Wshng Mchne Lem Lime 250ml,,4.8
9/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^#Colgate MW Plax Fresh Tea 500ml,Qty 2 @ $3.15 each,6.3
12/11/2021,3304 QV,Cnr Lonsdale and Swanston Streets ,6.2933E+19,#C/H Potted Price Point 15.00,,15
7/12/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Sweet Corn 500g P/P,,3
7/12/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Carrot 1kg P/P,,2
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Onion Brown Loose,0.287 kg NET @ $3.00/kg,0.86
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Cauliflower Whole,,3.5
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Devondale Milk Full Cream L/l 1l,,1.6
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^#Colgate MW Plax Fresh Tea 500ml,Qty 2 @ $3.15 each,6.3
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Gippsland Dairy Boysenberry 720G,,5.5
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Libra Pads U/Thin Regular Wings 14pk,,2.1
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Libra Pads Invis Reg Wings 14pk,,2.65
1/04/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,Pumpkin Kent Cut,0.751 kg NET @ $4.90/kg,3.68
1/04/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,Pumpkin Kent Cut,0.821 kg NET @ $4.90/kg,4.02
